iter	Passed	Remaining
0	22	22190
1	49	24813
2	72	23931
3	101	25330
4	127	25308
5	151	25094
6	177	25184
7	204	25348
8	233	25733
9	259	25722
10	281	25324
11	303	24952
12	327	24877
13	354	24984
14	383	25160
15	405	24961
16	435	25200
17	463	25295
18	491	25355
19	521	25530
20	543	25341
21	569	25330
22	597	25377
23	623	25338
24	646	25200
25	671	25147
26	694	25013
27	720	25021
28	748	25074
29	776	25109
30	806	25196
31	831	25160
32	852	24990
33	879	24980
34	903	24917
35	931	24934
36	955	24877
37	975	24689
38	1000	24665
39	1033	24793
40	1062	24843
41	1086	24789
42	1112	24758
43	1147	24932
44	1181	25072
45	1209	25093
46	1238	25105
47	1259	24985
48	1286	24966
49	1312	24935
50	1339	24919
51	1361	24812
52	1386	24782
53	1408	24681
54	1440	24757
55	1469	24768
56	1493	24710
57	1515	24612
58	1546	24658
59	1571	24622
60	1597	24587
61	1624	24578
62	1648	24523
63	1674	24493
64	1701	24478
65	1733	24534
66	1757	24473
67	1780	24398
68	1812	24452
69	1834	24368
70	1863	24382
71	1888	24341
72	1915	24326
73	1938	24252
74	1966	24259
75	1996	24267
76	2021	24226
77	2044	24165
78	2066	24095
79	2087	24006
80	2114	23986
81	2138	23940
82	2161	23884
83	2185	23830
84	2204	23731
85	2228	23689
86	2250	23617
87	2278	23608
88	2302	23569
89	2325	23518
90	2348	23462
91	2377	23467
92	2405	23459
93	2425	23374
94	2445	23301
95	2475	23311
96	2500	23273
97	2525	23241
98	2553	23241
99	2577	23197
100	2608	23216
101	2637	23217
102	2661	23182
103	2689	23172
104	2713	23126
105	2737	23087
106	2760	23040
107	2785	23006
108	2810	22974
109	2841	22988
110	2868	22977
111	2893	22944
112	2924	22953
113	2949	22923
114	2970	22856
115	2991	22794
116	3014	22749
117	3033	22673
118	3055	22617
119	3078	22574
120	3100	22521
121	3131	22538
122	3159	22529
123	3190	22538
124	3218	22530
125	3245	22512
126	3275	22519
127	3306	22525
128	3330	22485
129	3365	22523
130	3394	22520
131	3423	22511
132	3457	22535
133	3489	22549
134	3515	22527
135	3546	22531
136	3571	22499
137	3597	22473
138	3629	22482
139	3656	22463
140	3678	22408
141	3698	22348
142	3723	22313
143	3750	22296
144	3777	22274
145	3799	22225
146	3828	22215
147	3853	22184
148	3881	22169
149	3908	22147
150	3931	22105
151	3957	22076
152	3978	22027
153	4000	21978
154	4026	21949
155	4046	21893
156	4068	21843
157	4094	21820
158	4121	21799
159	4144	21756
160	4167	21716
161	4190	21677
